"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
21,"EryR",8.2e+08,8.8e+08,1.36e+09,1.02e+09,170880074.906351,849119925.093649,1190880074.90635
21,"TetR",7.4e+08,8.4e+08,8.8e+08,8.2e+08,41633319.9893227,778366680.010677,861633319.989323
21,"DRP",3e+08,3.6e+08,2.4e+08,3e+08,34641016.1513776,265358983.848622,334641016.151378
22,"Total",2e+09,2.4e+09,2.4e+09,2266666666.66667,133333333.333333,2133333333.33333,2.4e+09
22,"EryR",6.8e+08,1.16e+09,1.72e+09,1186666666.66667,300518071.188924,886148595.477743,1487184737.85559
22,"TetR",6.8e+08,8e+08,1.12e+09,866666666.666667,131318104.023948,735348562.642719,997984770.690615
22,"DRP",4.4e+08,4.4e+08,2.8e+08,386666666.666667,53333333.3333333,333333333.333333,4.4e+08
23,"Total",1.8e+09,2.2e+09,2e+09,2e+09,115470053.837925,1884529946.16207,2115470053.83793
23,"EryR",4.8e+08,9.6e+08,1.2e+09,8.8e+08,211660104.885167,668339895.114833,1091660104.88517
23,"TetR",7.6e+08,6e+08,7.2e+08,693333333.333333,48074017.0061865,645259316.327147,741407350.33952
23,"DRP",4.4e+08,4.4e+08,4e+08,426666666.666667,13333333.3333333,413333333.333333,4.4e+08
24,"Total",1.7e+09,1.6e+09,1.8e+09,1.7e+09,57735026.9189626,1642264973.08104,1757735026.91896
24,"EryR",9e+08,7.4e+08,9.4e+08,8.6e+08,61101009.2660779,798898990.733922,921101009.266078
24,"TetR",9.8e+08,1.02e+09,1.04e+09,1013333333.33333,17638342.0737639,995694991.259569,1030971675.4071
24,"DRP",4.2e+08,3.4e+08,5.6e+08,4.4e+08,64291005.0732864,375708994.926714,504291005.073286
