Time,Plate,Count,Dilution
0,BHIA,28,2
0,T,82,1
0,E,10,2
0,T+E,33,1
1,BHIA,20,2
1,T,17,2
1,E,19,2
1,T+E,63,1
2,BHIA,18,3
2,T,42,2
2,E,80,2
2,T+E,30,1
3,BHIA,18,4
3,T,48,3
3,E,49,3
3,T+E,10,2
4,BHIA,9,5
4,T,30,4
4,E,36,4
4,T+E,44,3
5,BHIA,41,5
5,T,18,5
5,E,26,5
5,T+E,23,4
6,BHIA,16,6
6,T,9,6
6,E,10,6
6,T+E,24,5
7,BHIA,7,7
7,T,44,6
7,E,36,6
7,T+E,12,6
8,BHIA,10,7
8,T,22,6
8,E,50,6
8,T+E,28,5
24,BHIA,8,7
24,T,8,7
24,E,8,7
24,T+E,32,6
0,BHIA,21,2
0,T,12,2
0,E,10,2
0,T+E,32,1
16,BHIA,8,7
16,T,7,7
16,E,58,6
16,T+E,22,6
17,BHIA,9,7
17,T,54,6
17,E,7,7
17,T+E,18,6
18,BHIA,10,7
18,T,7,7
18,E,7,7
18,T+E,12,6
19,BHIA,11,7
19,T,7,7
19,E,9,7
19,T+E,16,5
20,BHIA,12,7
20,T,50,6
20,E,56,6
20,T+E,20,6
21,BHIA,11,7
21,T,56,6
21,E,8,7
21,T+E,12,6
22,BHIA,12,7
22,T,7,7
22,E,10,7
22,T+E,14,6
23,BHIA,10,7
23,T,56,6
23,E,8,7
23,T+E,20,6
24,BHIA,10,7
24,T,8,7
24,E,7,7
24,T+E,24,6
,,,
