"Time","cfu","Bacteria"
0,49000,"Total"
0,13500,"EryR"
0,13700,"TetR"
0,6500,"DRP"
1,40000,"Total"
1,25400,"EryR"
1,21400,"TetR"
1,12600,"DRP"
2,360000,"Total"
2,154000,"EryR"
2,78000,"TetR"
2,6000,"DRP"
3,3600000,"Total"
3,960000,"EryR"
3,940000,"TetR"
3,20000,"DRP"
4,1.8e+07,"Total"
4,6320000,"EryR"
4,5120000,"TetR"
4,880000,"DRP"
5,8.2e+07,"Total"
5,47400000,"EryR"
5,31400000,"TetR"
5,4600000,"DRP"
6,3.2e+08,"Total"
6,1.52e+08,"EryR"
6,1.32e+08,"TetR"
6,4.8e+07,"DRP"
7,1.4e+09,"Total"
7,4.8e+08,"EryR"
7,6.4e+08,"TetR"
7,2.4e+08,"DRP"
8,2e+09,"Total"
8,9.44e+08,"EryR"
8,3.84e+08,"TetR"
8,5.6e+07,"DRP"
16,1.6e+09,"Total"
16,7.2e+08,"EryR"
16,9.6e+08,"TetR"
16,4.4e+08,"DRP"
17,1.8e+09,"Total"
17,1.04e+09,"EryR"
17,7.2e+08,"TetR"
17,3.6e+08,"DRP"
18,2e+09,"Total"
18,1.16e+09,"EryR"
18,1.16e+09,"TetR"
18,2.4e+08,"DRP"
19,2.2e+09,"Total"
19,1.768e+09,"EryR"
19,1.368e+09,"TetR"
19,3.2e+07,"DRP"
20,2.4e+09,"Total"
20,7.2e+08,"EryR"
20,6e+08,"TetR"
20,4e+08,"DRP"
21,2.2e+09,"Total"
21,1.36e+09,"EryR"
21,8.8e+08,"TetR"
21,2.4e+08,"DRP"
22,2.4e+09,"Total"
22,1.72e+09,"EryR"
22,1.12e+09,"TetR"
22,2.8e+08,"DRP"
23,2e+09,"Total"
23,1.2e+09,"EryR"
23,7.2e+08,"TetR"
23,4e+08,"DRP"
24,1.8e+09,"Total"
24,9.4e+08,"EryR"
24,1.04e+09,"TetR"
24,5.6e+08,"DRP"
