"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
22,"Total",9.8e+08,1.24e+09,1.18e+09,1133333333.33333,133414441.996859,999918891.336474,1266747775.33019
22,"EryR",3.4e+08,5.8e+08,9e+08,606666666.666667,275331751.407885,331334915.258782,881998418.074552
22,"TetR",3.4e+08,4e+08,6.2e+08,453333333.333333,144473849.998307,308859483.335026,597807183.33164
22,"DRP",2.2e+08,2.2e+08,1.4e+08,193333333.333333,45264261.1044667,148069072.228867,238597594.4378
23,"Total",9.2e+08,1.12e+09,1.1e+09,1046666666.66667,107948382.726808,938718283.939859,1154615049.39347
23,"EryR",2.4e+08,4.6e+08,6.8e+08,4.6e+08,215600000,244400000,675600000
23,"TetR",3.8e+08,3e+08,3.6e+08,346666666.666667,40800653.5895362,305866013.07713,387467320.256203
23,"DRP",2.2e+08,2.2e+08,2e+08,213333333.333333,11316065.2761167,202017268.057217,224649398.60945
24,"Total",8.6e+08,8.4e+08,9.4e+08,8.8e+08,51856725.696866,828143274.303134,931856725.696866
24,"EryR",4.5e+08,3.7e+08,5e+08,4.4e+08,64262897.5381596,375737102.46184,504262897.53816
24,"TetR",4.9e+08,5e+08,5.3e+08,506666666.666667,20400326.7947681,486266339.871899,527066993.461435
24,"DRP",2.1e+08,1.7e+08,2.8e+08,2.2e+08,54564090.7557342,165435909.244266,274564090.755734
