"Time","cfu","Bacteria"
0,31000,"Total"
0,10000,"EryR"
0,52500,"P"
0,6000,"TetR"
0,0,"DRP"
1,52000,"Total"
1,14000,"EryR"
1,45000,"P"
1,20000,"TetR"
1,0,"DRP"
2,280000,"Total"
2,160000,"EryR"
2,65000,"P"
2,180000,"TetR"
2,0,"DRP"
3,2200000,"Total"
3,860000,"EryR"
3,120000,"P"
3,1e+06,"TetR"
3,0,"DRP"
4,9e+06,"Total"
4,5e+06,"EryR"
4,170000,"P"
4,4200000,"TetR"
4,0,"DRP"
5,7.4e+07,"Total"
5,3.6e+07,"EryR"
5,1150000,"P"
5,1.8e+07,"TetR"
5,0,"DRP"
6,3.6e+08,"Total"
6,1.8e+08,"EryR"
6,3e+06,"P"
6,1.2e+08,"TetR"
6,0,"DRP"
7,8.6e+08,"Total"
7,5.8e+08,"EryR"
7,9500000,"P"
7,5.6e+08,"TetR"
7,0,"DRP"
8,1.6e+09,"Total"
8,559999998,"EryR"
8,3500000,"P"
8,679999998,"TetR"
8,2,"DRP"
16,1.76e+09,"Total"
16,939999986,"EryR"
16,10500000,"P"
16,599999986,"TetR"
16,14,"DRP"
17,2.16e+09,"Total"
17,1139999986,"EryR"
17,6500000,"P"
17,1239999986,"TetR"
17,14,"DRP"
18,1.44e+09,"Total"
18,859999994,"EryR"
18,6e+06,"P"
18,859999994,"TetR"
18,6,"DRP"
19,1.34e+09,"Total"
19,699999984,"EryR"
19,3e+06,"P"
19,759999984,"TetR"
19,16,"DRP"
20,1.34e+09,"Total"
20,859999992,"EryR"
20,7e+06,"P"
20,759999992,"TetR"
20,8,"DRP"
21,1.56e+09,"Total"
21,1239999984,"EryR"
21,15500000,"P"
21,1039999984,"TetR"
21,16,"DRP"
22,1.58e+09,"Total"
22,779999986,"EryR"
22,4e+06,"P"
22,839999986,"TetR"
22,14,"DRP"
23,1.36e+09,"Total"
23,639999994,"EryR"
23,3800000,"P"
23,799999994,"TetR"
23,6,"DRP"
24,1.58e+09,"Total"
24,869999995,"EryR"
24,4400000,"P"
24,929999995,"TetR"
24,5,"DRP"
