"model_name","beta","beta_0.025","beta_0.975","L","L_0.025","L_0.975","alpha","alpha_0.025","alpha_0.975","tau","tau_0.025","tau_0.975","P_lim","P_lim_0.025","P_lim_0.975","DIC"
"dens_beta",4.51317639811873e-09,5.01280552752682e-09,4.05074561851809e-09,11.71805291,10.07174126,13.63915059,3.07755850184737e-08,5.77914173279564e-08,1.49710866905979e-08,0.638494119,0.553028657,0.728223761,0,0,0,6282
"dens_burst",1.6120815345876e-10,1.68616527620858e-10,1.53899945144396e-10,79.32145359,72.28697783,85.76800573,1.38466274760114e-08,1.70261203139664e-08,1.10329839066041e-08,0.653009854,0.615035309,0.687488656,0,0,0,6173
"dens_both",4.2596303715883e-09,4.62566706264797e-09,3.86502961548825e-09,42.91054441,37.25586486,48.73491503,1.21057235354069e-08,2.2840241205512e-08,6.42701588414481e-09,0.929163012,0.857809296,0.990983798,0,0,0,5952
"hill_beta",3.31134711701127e-09,1.75616528765794e-09,5.59966761681746e-09,14.2736637753325,11.3826947540009,20.7504625136685,2.45130281671287e-07,1.23314658272935e-07,5.4593057352873e-07,0.668324280540694,0.604068579339198,0.777849772922661,50781758302.4938,2823926156.83742,96730948224.0725,0
"hill_burst",2.29128840242935e-10,2.12185235194598e-10,2.6530744391969e-10,49.9377858803978,42.6796885630333,54.1028700909227,1.00781814263519e-08,1.00049332207766e-08,1.03214938927295e-08,0.601738159074439,0.600074461717724,0.60881088995826,11892440833.8769,10247258836.4752,12864244319.1868,5178
"hill_both",2.61227400425424e-09,1.90929707909668e-09,3.36950571729163e-09,36.0099142737048,28.4396810458899,43.330261016195,1.3893870037491e-07,9.21337278298093e-08,2.17835646860668e-07,0.746440892451894,0.62575445175146,0.797748588394456,51397309941.9531,3648583603.88186,97669790149.4842,5563
