"model_name","beta","beta_0.025","beta_0.975","L","L_0.025","L_0.975","gamma","gamma_0.025","gamma_0.975","alpha","alpha_0.025","alpha_0.975","tau","tau_0.025","tau_0.975"
"mass_decay_link_beta",1.62969947575614e-09,1.8305851526723e-09,1.43589639449385e-09,57.8987828692957,50.7715412370607,69.1728281766749,0.000981680184691851,0.00240104487822887,0.0004568454340325,4.21027263217274e-08,5.83664315880506e-08,2.97072900369851e-08,0.880095447589912,0.80755713356729,0.94866625880193
"mass_decay_link_L",5.89196705189457e-11,6.43622117886958e-11,5.42446075942363e-11,98.9791549907083,89.5277992671285,108.687629223469,2.22971070368094e-05,3.86199536845149e-05,1.41583377802384e-05,4.6635067456429e-08,5.54029591435189e-08,4.11454373670907e-08,0.169157860746468,0.167080519030532,0.177605732935073
"mass_decay_link_both",1.73386477034583e-09,1.86052404402202e-09,1.57295446998367e-09,97.9449754430832,87.949722161178,107.473283383403,0.000689179321582767,0.00165955173658149,0.0004478410164841,1.48454869609149e-08,2.45925630819136e-08,1.22761929178827e-08,0.832735143633956,0.77787900679142,0.87789175215309
"frequentist_decay_link_beta",1.69849638489958e-09,2.03851452314661e-09,1.54981000732905e-09,55.8698980603604,35.6916152966739,60.0159137105401,0.00127958888886104,0.00242581019281988,0.00078005502808328,4.75712003806322e-08,6.78821951276299e-08,2.631665814265e-08,0.852558534428413,0.715271287835428,0.892981684431822
"frequentist_decay_link_L",6.72118324167111e-11,7.53187068220532e-11,6.15760058257664e-11,91.0200258250818,80.6319914387777,100.441874886729,2.81319374992641e-05,7.39383443065229e-05,1.61611677634789e-05,4.01575138871504e-08,4.78661655267227e-08,3.6158437698661e-08,0.169579188959597,0.167090860289741,0.179633864062878
"frequentist_decay_link_both",1.79136726369316e-09,1.94333292905592e-09,1.56649157569207e-09,91.3933161634916,83.7744944355822,102.726464895211,0.000759767137805739,0.00102994100318444,0.000510564848519619,2.49572153313909e-08,2.99348286622127e-08,2.12304551678442e-08,0.809598467500729,0.755246954703738,0.85222619045303
