"model_name","beta","beta_0.025","beta_0.975","L","L_0.025","L_0.975","gamma","gamma_0.025","gamma_0.975","alpha","alpha_0.025","alpha_0.975","tau","tau_0.025","tau_0.975"
"mass_decay_link_beta",4.25480691001113e-09,4.59135330951778e-09,3.54307779449312e-09,33.2503369424253,29.2533146965279,36.8086367056724,0.0997341415530716,0.0999902337890949,0.0984255799216745,1.21539558004029e-08,4.68782262524057e-08,5.14195877094804e-09,0.965793586736174,0.867603721087225,0.998711652541139
"mass_decay_link_L",1.57566897253838e-10,1.79006041390586e-10,1.2289150053103e-10,79.2952057945688,68.9150569643836,111.80501742597,0.00130116967895643,0.0995302734002486,0.000649749322749321,1.39000407890642e-08,7.14318147929003e-08,7.9869459487483e-09,0.662166487459123,0.31443990095798,0.70713561072625
"mass_decay_link_both",3.56205271495786e-09,4.09316559665763e-09,3.25175164477373e-09,72.8721509339409,46.2939301008412,82.3141765672381,0.0845442327589354,0.0993087744923287,0.00244530614841743,4.78307455963961e-09,1.77856424519788e-08,2.1198551790233e-09,0.960053555072887,0.900093357163594,0.996098434932008
"frequentist_decay_link_beta",4.61499462672432e-09,5.27402229806615e-09,3.95015092076761e-09,25.0621573858037,21.5434491739218,29.1330904894499,0.0995292910852084,0.0999802863569985,0.0973531896923257,1.02834893733919e-07,1.384961970961e-07,7.57953499858627e-08,0.879818985927676,0.79575805412057,0.970066792027493
"frequentist_decay_link_L",1.58626979901119e-10,2.64308968793133e-10,1.20053029742507e-10,78.0610521512332,66.45630086915,121.041663587346,0.00266953375031056,0.0997946361642703,0.000467186782297435,1.14485715782042e-08,7.94403399170977e-08,6.02271984374822e-09,0.672779108594278,0.365876736658155,0.771759575633946
"frequentist_decay_link_both",3.98829312522578e-09,4.50082486898249e-09,3.51543298784105e-09,59.8229232685528,50.5119615117992,68.6735860701222,0.0846543319762174,0.098593533102301,0.0659145230501351,5.85765997549649e-08,8.46070851361517e-08,3.83740917904522e-08,0.937130623350522,0.874593774829876,0.990492938645986
