"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,17167,16278,0,179167,0,0,"freq_beta"
1,85590.9220485418,73736.2225079389,0,179258.161554165,0,0,"freq_beta"
2,426659.889120673,333953.749500177,0,180232.721082032,0,0,"freq_beta"
3,2125003.817445,1511255.04817262,0,184888.403209142,0,0,"freq_beta"
4,10540014.558749,6812381.94094302,0,207260.163560498,0,0,"freq_beta"
5,51269911.0627747,30150936.0070814,0,317143.825129546,0.0327139603275035,0.0215079950537668,"freq_beta"
6,228858338.637822,123083255.881829,0.0818190835077991,911120.069350084,0.160725961995936,0.0951709084108496,"freq_beta"
7,758313582.669792,379635596.390452,0.652897635277036,4532785.78881053,0.901845364631505,0.484923101683291,"freq_beta"
8,1430770800.90181,689407403.441761,2.93492826351415,21709144.1182902,4.45100648740117,2.2349242781358,"freq_beta"
9,1749995928.42742,832614664.158564,7.29378919116813,44129948.7117796,9.14174540414377,4.45533902395865,"freq_beta"
10,1842244378.5238,873495328.438175,9.93698702199418,42633166.766482,8.8502562194667,4.28614323478652,"freq_beta"
11,1866693659.93109,884297182.114478,10.720434699616,39024788.4398962,8.1028914024548,3.92170670646609,"freq_beta"
12,1872935396.98496,887053540.172092,10.9196458273828,37863363.2320326,7.8618509883739,3.80488258076842,"freq_beta"
13,1874502426.69124,887745481.322855,10.9694641775344,37558859.7599846,7.79863161270543,3.77427627316179,"freq_beta"
14,1874893999.5517,887918381.621954,10.9818994974096,37482021.2808604,7.78267748745751,3.76655437784356,"freq_beta"
15,1874991655.77577,887961501.840608,10.9849997305153,37462812.6929359,7.77868908943775,3.76462408714449,"freq_beta"
16,1875016024.924,887972262.052694,10.9857732829848,37458016.4764216,7.77769321614718,3.76414211549669,"freq_beta"
17,1875022080.32029,887974935.81574,10.9859652590708,37456824.5038634,7.77744571790366,3.76402233452435,"freq_beta"
18,1875023595.67718,887975604.922231,10.9860132901966,37456526.2037262,7.77738377958041,3.76399235844897,"freq_beta"
19,1875023958.83008,887975765.272547,10.9860255942167,37456454.7151045,7.77736893585234,3.76398517458513,"freq_beta"
20,1875024096.69484,887975826.14679,10.9860300451026,37456427.5759718,7.77736330074761,3.76398244738371,"freq_beta"
21,1875024130.94456,887975841.269765,10.9860311447395,37456420.8337945,7.77736190081801,3.76398176986484,"freq_beta"
22,1875024138.87857,887975844.773033,10.9860313916851,37456419.2719553,7.77736157652143,3.76398161291619,"freq_beta"
23,1875024141.28409,887975845.835188,10.9860314442858,37456418.7984213,7.77736147819796,3.76398156533094,"freq_beta"
24,1875024142.13403,887975846.210482,10.9860314599385,37456418.6311065,7.77736144345713,3.76398154851754,"freq_beta"
25,1875024142.43434,887975846.343085,10.9860314665054,37456418.5719889,7.77736143118209,3.76398154257683,"freq_beta"
26,1875024142.54045,887975846.389938,10.9860314684595,37456418.5511008,7.77736142684493,3.7639815404778,"freq_beta"
27,1875024142.57795,887975846.406493,10.9860314692794,37456418.5437204,7.77736142531247,3.76398153973614,"freq_beta"
28,1875024142.59119,887975846.412342,10.9860314695233,37456418.5411126,7.77736142477101,3.76398153947409,"freq_beta"
29,1875024142.59587,887975846.414409,10.9860314696257,37456418.5401913,7.7773614245797,3.7639815393815,"freq_beta"
30,1875024142.59753,887975846.415139,10.9860314696561,37456418.5398658,7.77736142451211,3.76398153934879,"freq_beta"
