"time","Be","Bt","Bet","Pl","Pe","Pt","model"
0,15389,11389,0,1433,0,0,"freq_beta"
1,76907.1013221565,51707.1326680378,0,1433.5807994167,0,0,"freq_beta"
2,384290.227500827,234723.203883015,0,1439.86787349957,0,0,"freq_beta"
3,1918893.70580306,1064824.992518,0,1470.14065520509,0,0,"freq_beta"
4,9549712.99540484,4815428.12447336,0,1616.62671953671,0,0,"freq_beta"
5,46773272.7144884,21452262.8331008,0,2337.88118386027,0,0,"freq_beta"
6,213089608.08157,89278006.3793745,0,6190.97895301021,0,0,"freq_beta"
7,744012971.916514,289309933.081047,0,29664.7284328331,0,0,"freq_beta"
8,1497403765.07929,558466405.18617,0.0182719935243798,147198.14311058,0.0326133910919386,0.0127122128458283,"freq_beta"
9,1886609335.05452,693986708.104417,0.0473018560364953,320079.684294521,0.0716067779767771,0.0270117961345703,"freq_beta"
10,1992775198.97622,730647247.274628,0.0641023054251017,312033.494090852,0.0699319227573367,0.0262118437858378,"freq_beta"
11,2016087527.34492,738681438.909376,0.0682630674142138,290243.103193139,0.0650567729754578,0.0243731607943418,"freq_beta"
12,2020947812.43386,740355751.587284,0.0691332900991953,284581.427943943,0.0637881037664293,0.0238973594477678,"freq_beta"
13,2021950051.24606,740700981.510407,0.0693125544350377,283371.338492686,0.063516881353945,0.0237957284915201,"freq_beta"
14,2022156249.29068,740772006.968213,0.0693494450056433,283120.659245219,0.0634606929760448,0.023774677389919,"freq_beta"
15,2022198626.36418,740786603.808743,0.0693570393969237,283069.06810383,0.0634491289959646,0.023770345065775,"freq_beta"
16,2022207370.85802,740789615.85926,0.0693586203407909,283058.419246972,0.0634467420861011,0.0237694508411357,"freq_beta"
17,2022209146.48941,740790227.47735,0.0693588969721432,283056.256792645,0.0634462573781471,0.023769269251885,"freq_beta"
18,2022209515.25512,740790354.499078,0.0693589362939745,283055.807684765,0.063446156711891,0.0237692315386521,"freq_beta"
19,2022209591.9905,740790380.93066,0.0693589386573885,283055.714230995,0.0634461357644934,0.0237692236909972,"freq_beta"
20,2022209608.76052,740790386.707111,0.0693589391738973,283055.693807281,0.0634461311865759,0.0237692219759433,"freq_beta"
21,2022209611.89369,740790387.786333,0.0693589392703974,283055.689991492,0.0634461303312775,0.0237692216555175,"freq_beta"
22,2022209612.0491,740790387.839864,0.0693589392751839,283055.689802223,0.0634461302888533,0.0237692216396239,"freq_beta"
23,2022209612.06905,740790387.846739,0.0693589392757986,283055.689777918,0.0634461302834055,0.0237692216375829,"freq_beta"
24,2022209612.07616,740790387.849188,0.0693589392760176,283055.68976926,0.0634461302814647,0.0237692216368558,"freq_beta"
25,2022209612.0787,740790387.85006,0.0693589392760956,283055.689766175,0.0634461302807733,0.0237692216365968,"freq_beta"
26,2022209612.0796,740790387.850371,0.0693589392761234,283055.689765076,0.063446130280527,0.0237692216365045,"freq_beta"
27,2022209612.07992,740790387.850482,0.0693589392761333,283055.689764685,0.0634461302804393,0.0237692216364716,"freq_beta"
28,2022209612.08003,740790387.850521,0.0693589392761368,283055.689764545,0.063446130280408,0.0237692216364599,"freq_beta"
29,2022209612.08008,740790387.850535,0.0693589392761381,283055.689764495,0.0634461302803968,0.0237692216364557,"freq_beta"
30,2022209612.08009,740790387.85054,0.0693589392761385,283055.689764478,0.0634461302803928,0.0237692216364542,"freq_beta"
