"Time","cfu","Bacteria"
0,30000,"Total"
0,16666.6666666667,"EryR"
0,14333.3333333333,"TetR"
0,0,"DRP"
0,175000,"P"
1,60000,"Total"
1,20000,"EryR"
1,33333.3333333333,"TetR"
1,0,"DRP"
1,205000,"P"
2,333333.333333333,"Total"
2,2e+05,"EryR"
2,166666.666666667,"TetR"
2,0,"DRP"
2,2e+05,"P"
3,2333333.33333333,"Total"
3,633333.333333333,"EryR"
3,833333.333333333,"TetR"
3,0,"DRP"
3,250000,"P"
4,10666666.6666667,"Total"
4,8666666.66666667,"EryR"
4,2e+06,"TetR"
4,0,"DRP"
4,6e+05,"P"
5,116666666.666667,"Total"
5,7e+07,"EryR"
5,23333333.3333333,"TetR"
5,0,"DRP"
5,2100000,"P"
6,5e+08,"Total"
6,233333333.333333,"EryR"
6,133333333.333333,"TetR"
6,0,"DRP"
6,1.6e+07,"P"
7,1.4e+09,"Total"
7,1033333327.33333,"EryR"
7,566666660.666667,"TetR"
7,6.00000005990431,"DRP"
7,2.1e+07,"P"
8,1366666666.66667,"Total"
8,733333327.333333,"EryR"
8,666666660.666667,"TetR"
8,6.00000005990431,"DRP"
8,1e+07,"P"
16,1133333333.33333,"Total"
16,733333321.333333,"EryR"
16,599999988,"TetR"
16,12.0000001198086,"DRP"
16,2.15e+08,"P"
17,966666666.666667,"Total"
17,466666648.666667,"EryR"
17,399999982,"TetR"
17,18.0000001797129,"DRP"
17,1e+08,"P"
18,1233333333.33333,"Total"
18,899999978,"EryR"
18,299999978,"TetR"
18,22.0000002196491,"DRP"
18,9.5e+07,"P"
19,7e+08,"Total"
19,333333329.333333,"EryR"
19,199999996,"TetR"
19,4.00000003993621,"DRP"
19,9.5e+08,"P"
20,2366666666.66667,"Total"
20,1299999972,"EryR"
20,933333305.333333,"TetR"
20,28.0000002795535,"DRP"
20,3e+07,"P"
21,1e+09,"Total"
21,699999962,"EryR"
21,49999961.9999996,"TetR"
21,38.000000379394,"DRP"
21,4.5e+07,"P"
22,7e+08,"Total"
22,233333315.333333,"EryR"
22,299999982,"TetR"
22,18.0000001797129,"DRP"
22,3.6e+08,"P"
23,5e+08,"Total"
23,176666664.666667,"EryR"
23,233333331.333333,"TetR"
23,2.0000000199681,"DRP"
23,2.1e+09,"P"
24,8.5e+08,"Total"
24,454999989,"EryR"
24,343333322.333333,"TetR"
24,11.0000001098246,"DRP"
24,1282500000,"P"
