"Time","cfu","Bacteria"
0,45000,"Total"
0,21666.6666666667,"EryR"
0,23333.3333333333,"TetR"
0,0,"DRP"
0,212500,"P"
1,83333.3333333333,"Total"
1,46666.6666666667,"EryR"
1,26666.6666666667,"TetR"
1,0,"DRP"
1,210000,"P"
2,7e+05,"Total"
2,180000,"EryR"
2,150000,"TetR"
2,0,"DRP"
2,310000,"P"
3,3e+06,"Total"
3,1533333.33333333,"EryR"
3,8e+05,"TetR"
3,0,"DRP"
3,4e+05,"P"
4,13666666.6666667,"Total"
4,7666666.66666667,"EryR"
4,5333333.33333333,"TetR"
4,0,"DRP"
4,1500000,"P"
5,86666666.6666667,"Total"
5,43333333.3333333,"EryR"
5,36666666.6666667,"TetR"
5,0,"DRP"
5,7500000,"P"
6,7e+08,"Total"
6,186666666.666667,"EryR"
6,2.3e+08,"TetR"
6,0,"DRP"
6,9e+06,"P"
7,1466666666.66667,"Total"
7,599999998,"EryR"
7,599999998,"TetR"
7,2.0000000199681,"DRP"
7,8.5e+07,"P"
8,2133333333.33333,"Total"
8,966666660.666667,"EryR"
8,999999994,"TetR"
8,6.00000005990431,"DRP"
8,3.5e+07,"P"
16,1433333333.33333,"Total"
16,399999978,"EryR"
16,633333311.333333,"TetR"
16,22.0000002196491,"DRP"
16,2.5e+08,"P"
17,766666666.666667,"Total"
17,366666666.666667,"EryR"
17,466666666.666667,"TetR"
17,0,"DRP"
17,2.3e+09,"P"
18,833333333.333333,"Total"
18,466666656.666667,"EryR"
18,333333323.333333,"TetR"
18,10.0000000998405,"DRP"
18,8e+08,"P"
19,1.5e+09,"Total"
19,733333323.333333,"EryR"
19,533333323.333333,"TetR"
19,10.0000000998405,"DRP"
19,3e+08,"P"
20,833333333.333333,"Total"
20,316666660.666667,"EryR"
20,633333327.333333,"TetR"
20,6.00000005990431,"DRP"
20,1.2e+09,"P"
21,4e+08,"Total"
21,103333333.333333,"EryR"
21,113333333.333333,"TetR"
21,0,"DRP"
21,8.3e+09,"P"
22,733333333.333333,"Total"
22,566666656.666667,"EryR"
22,399999990,"TetR"
22,10.0000000998405,"DRP"
22,7e+08,"P"
23,2e+07,"Total"
23,1e+07,"EryR"
23,16666666.6666667,"TetR"
23,0,"DRP"
23,2.6e+10,"P"
24,858333333.333333,"Total"
24,523333320.333333,"EryR"
24,493333320.333333,"TetR"
24,13.0000001297927,"DRP"
24,2937500000,"P"
