"Time","cfu","Bacteria"
0,25000,"Total"
0,18000,"EryR"
0,55000,"P"
0,17000,"TetR"
0,0,"DRP"
1,72000,"Total"
1,28000,"EryR"
1,70000,"P"
1,36000,"TetR"
1,0,"DRP"
2,380000,"Total"
2,240000,"EryR"
2,90000,"P"
2,220000,"TetR"
2,0,"DRP"
3,3e+06,"Total"
3,820000,"EryR"
3,75000,"P"
3,1120000,"TetR"
3,0,"DRP"
4,10200000,"Total"
4,3800000,"EryR"
4,255000,"P"
4,7400000,"TetR"
4,0,"DRP"
5,8.2e+07,"Total"
5,4.6e+07,"EryR"
5,450000,"P"
5,6.8e+07,"TetR"
5,0,"DRP"
6,3e+08,"Total"
6,2.8e+08,"EryR"
6,2450000,"P"
6,1.8e+08,"TetR"
6,0,"DRP"
7,1.04e+09,"Total"
7,4.6e+08,"EryR"
7,7500000,"P"
7,7.6e+08,"TetR"
7,0,"DRP"
8,2.2e+09,"Total"
8,519999994,"EryR"
8,16500000,"P"
8,919999994,"TetR"
8,6,"DRP"
16,2.4e+09,"Total"
16,1399999996,"EryR"
16,9e+06,"P"
16,999999996,"TetR"
16,4,"DRP"
17,3.4e+09,"Total"
17,639999990,"EryR"
17,18500000,"P"
17,839999990,"TetR"
17,10,"DRP"
18,2e+09,"Total"
18,419999992,"EryR"
18,5e+06,"P"
18,1199999992,"TetR"
18,8,"DRP"
19,3e+09,"Total"
19,679999996,"EryR"
19,9500000,"P"
19,1059999996,"TetR"
19,4,"DRP"
20,2e+09,"Total"
20,679999996,"EryR"
20,3.6e+07,"P"
20,879999996,"TetR"
20,4,"DRP"
21,1.4e+09,"Total"
21,3.6e+08,"EryR"
21,5e+07,"P"
21,1.06e+09,"TetR"
21,0,"DRP"
22,2.4e+09,"Total"
22,899999996,"EryR"
22,1.5e+07,"P"
22,719999996,"TetR"
22,4,"DRP"
23,2e+09,"Total"
23,559999998,"EryR"
23,8.5e+07,"P"
23,879999998,"TetR"
23,2,"DRP"
24,1.4e+09,"Total"
24,569999994,"EryR"
24,3625000,"P"
24,999999994,"TetR"
24,6,"DRP"
