"Time","cfu","Bacteria"
0,9800000,"Total"
0,5230000,"327"
0,5230000,"201KT7"
0,5230000,"DRM"
1,2.2e+07,"Total"
1,19998000,"327"
1,881628.571428571,"201KT7"
1,149428.571428571,"DRM"
2,9.8e+07,"Total"
2,6.6e+07,"327"
2,791971.428571429,"201KT7"
2,0,"DRM"
3,5.4e+08,"Total"
3,439976000,"327"
3,13269257.1428571,"201KT7"
3,1793142.85714286,"DRM"
4,1.34e+09,"Total"
4,859460000,"327"
4,100565428.571429,"201KT7"
4,40345714.2857143,"DRM"
5,1.04e+09,"Total"
5,779600000,"327"
5,236097142.857143,"201KT7"
5,29885714.2857143,"DRM"
6,9.6e+08,"Total"
6,519800000,"327"
6,17931428.5714286,"201KT7"
6,14942857.1428571,"DRM"
7,1.66e+09,"Total"
7,1.04e+09,"327"
7,38851428.5714286,"201KT7"
7,0,"DRM"
8,1.6e+09,"Total"
8,1039800000,"327"
8,28391428.5714286,"201KT7"
8,14942857.1428571,"DRM"
16,2.8e+09,"Total"
16,1195600000,"327"
16,265982857.142857,"201KT7"
16,328742857.142857,"DRM"
17,2.4e+09,"Total"
17,1.434e+09,"327"
17,313800000,"201KT7"
17,448285714.285714,"DRM"
18,2.4e+09,"Total"
18,1433600000,"327"
18,385525714.285714,"201KT7"
18,478171428.571429,"DRM"
19,2.2e+09,"Total"
19,1332800000,"327"
19,499091428.571429,"201KT7"
19,537942857.142857,"DRM"
20,1.8e+09,"Total"
20,1592800000,"327"
20,514034285.714286,"201KT7"
20,537942857.142857,"DRM"
21,2.6e+09,"Total"
21,1550400000,"327"
21,496102857.142857,"201KT7"
21,717257142.857143,"DRM"
22,3.2e+09,"Total"
22,1470800000,"327"
22,543920000,"201KT7"
22,687371428.571429,"DRM"
23,2.8e+09,"Total"
23,1155400000,"327"
23,264488571.428571,"201KT7"
23,343685714.285714,"DRM"
24,1.5e+09,"Total"
24,1480500000,"327"
24,526735714.285714,"201KT7"
24,709785714.285714,"DRM"
