"Time","cfu","Bacteria"
0,8600000,"Total"
0,5138000,"EryR"
0,518000,"TetR"
0,62000,"DRP"
1,3e+07,"Total"
1,25994000,"EryR"
1,174000,"TetR"
1,6000,"DRP"
2,1.22e+08,"Total"
2,51998000,"EryR"
2,90000,"TetR"
2,2000,"DRP"
3,9.2e+08,"Total"
3,359960000,"EryR"
3,1360000,"TetR"
3,40000,"DRP"
4,1.1e+09,"Total"
4,619640000,"EryR"
4,14840000,"TetR"
4,360000,"DRP"
5,1.1e+09,"Total"
5,639780000,"EryR"
5,25780000,"TetR"
5,220000,"DRP"
6,1.32e+09,"Total"
6,6.6e+08,"EryR"
6,3e+06,"TetR"
6,0,"DRP"
7,2.4e+09,"Total"
7,959600000,"EryR"
7,3800000,"TetR"
7,4e+05,"DRP"
8,3.8e+09,"Total"
8,1.199e+09,"EryR"
8,5e+06,"TetR"
8,1e+06,"DRP"
16,2e+09,"Total"
16,1.284e+09,"EryR"
16,8e+07,"TetR"
16,1.6e+07,"DRP"
17,3.6e+09,"Total"
17,1544600000,"EryR"
17,54600000,"TetR"
17,15400000,"DRP"
18,2.8e+09,"Total"
18,1844200000,"EryR"
18,74200000,"TetR"
18,15800000,"DRP"
19,2.4e+09,"Total"
19,1.604e+09,"EryR"
19,7.2e+07,"TetR"
19,1.6e+07,"DRP"
20,2.8e+09,"Total"
20,1.52e+09,"EryR"
20,9.6e+07,"TetR"
20,2e+07,"DRP"
21,4.4e+09,"Total"
21,1.598e+09,"EryR"
21,2.58e+08,"TetR"
21,2.2e+07,"DRP"
22,1.4e+09,"Total"
22,1.398e+09,"EryR"
22,2.18e+08,"TetR"
22,2.2e+07,"DRP"
23,1.8e+09,"Total"
23,1209400000,"EryR"
23,79400000,"TetR"
23,10600000,"DRP"
24,2.5e+09,"Total"
24,1387600000,"EryR"
24,88600000,"TetR"
24,12400000,"DRP"
