"Time","cfu","Bacteria"
0,4000,"Total"
0,4200,"EryR"
0,6500,"P"
0,800,"TetR"
0,0,"DRP"
1,3600,"Total"
1,4000,"EryR"
1,9000,"P"
1,2000,"TetR"
1,0,"DRP"
2,16000,"Total"
2,14000,"EryR"
2,11500,"P"
2,5800,"TetR"
2,0,"DRP"
3,214000,"Total"
3,130000,"EryR"
3,9500,"P"
3,58000,"TetR"
3,0,"DRP"
4,1480000,"Total"
4,640000,"EryR"
4,17000,"P"
4,180000,"TetR"
4,0,"DRP"
5,6e+06,"Total"
5,5e+06,"EryR"
5,63000,"P"
5,3e+06,"TetR"
5,0,"DRP"
6,6.2e+07,"Total"
6,4.2e+07,"EryR"
6,3400000,"P"
6,14800000,"TetR"
6,0,"DRP"
7,2.24e+08,"Total"
7,1.34e+08,"EryR"
7,4.6e+07,"P"
7,4.6e+07,"TetR"
7,0,"DRP"
8,3.2e+08,"Total"
8,2.6e+08,"EryR"
8,3.55e+08,"P"
8,2e+07,"TetR"
8,0,"DRP"
