"Time","cfu","Bacteria"
0,6400000,"Total"
0,3560000,"EryR"
0,1240000,"TetR"
0,140000,"DRP"
1,10600000,"Total"
1,4466000,"EryR"
1,2206000,"TetR"
1,134000,"DRP"
2,5.6e+07,"Total"
2,27986000,"EryR"
2,286000,"TetR"
2,14000,"DRP"
3,1.92e+08,"Total"
3,111976000,"EryR"
3,1256000,"TetR"
3,24000,"DRP"
4,9.2e+08,"Total"
4,478940000,"EryR"
4,11140000,"TetR"
4,1060000,"DRP"
5,1.16e+09,"Total"
5,817800000,"EryR"
5,27800000,"TetR"
5,2200000,"DRP"
6,1.24e+09,"Total"
6,678100000,"EryR"
6,24100000,"TetR"
6,1900000,"DRP"
7,1.2e+09,"Total"
7,836600000,"EryR"
7,48600000,"TetR"
7,3400000,"DRP"
8,9.8e+08,"Total"
8,639800000,"EryR"
8,5800000,"TetR"
8,2e+05,"DRP"
16,1.3e+09,"Total"
16,1087200000,"EryR"
16,77200000,"TetR"
16,12800000,"DRP"
17,1.08e+09,"Total"
17,866800000,"EryR"
17,62800000,"TetR"
17,13200000,"DRP"
18,1.6e+09,"Total"
18,1.046e+09,"EryR"
18,6.4e+07,"TetR"
18,1.4e+07,"DRP"
19,1.48e+09,"Total"
19,927600000,"EryR"
19,59600000,"TetR"
19,12400000,"DRP"
20,1.48e+09,"Total"
20,846800000,"EryR"
20,60800000,"TetR"
20,13200000,"DRP"
21,1.62e+09,"Total"
21,9.84e+08,"EryR"
21,6.6e+07,"TetR"
21,1.6e+07,"DRP"
22,1.64e+09,"Total"
22,827600000,"EryR"
22,73600000,"TetR"
22,12400000,"DRP"
23,1.4e+09,"Total"
23,8.28e+08,"EryR"
23,6.2e+07,"TetR"
23,3.2e+07,"DRP"
24,1.69e+09,"Total"
24,9.23e+08,"EryR"
24,8.3e+07,"TetR"
24,2.7e+07,"DRP"
