Time,Plate,Count,Dilution
0,BHIA,31,4
0,T,86,3
0,E,24,4
0,T+E,107,2
1,BHIA,53,4
1,T,117,3
1,E,23,4
1,T+E,67,2
2,BHIA,28,5
2,T,15,3
2,E,14,5
2,T+E,7,2
3,BHIA,96,5
3,T,64,3
3,E,56,5
3,T+E,12,2
4,BHIA,46,6
4,T,61,4
4,E,24,6
4,T+E,53,3
5,BHIA,58,6
5,T,15,5
5,E,41,6
5,T+E,11,4
6,BHIA,62,6
6,T,13,5
6,E,34,6
6,T+E,95,3
7,BHIA,60,6
7,T,26,5
7,E,42,6
7,T+E,17,4
8,BHIA,49,6
8,T,30,4
8,E,32,6
8,T+E,1,4
24,BHIA,85,6
24,T,51,5
24,E,44,6
24,T+E,10,5
0,BHIA,33,4
0,T,52,3
0,E,13,4
0,T+E,33,2
16,BHIA,65,6
16,T,45,5
16,E,55,6
16,T+E,64,4
17,BHIA,54,6
17,T,38,5
17,E,44,6
17,T+E,66,4
18,BHIA,80,6
18,T,39,5
18,E,53,6
18,T+E,70,4
19,BHIA,74,6
19,T,36,5
19,E,47,6
19,T+E,62,4
20,BHIA,74,6
20,T,37,5
20,E,43,6
20,T+E,66,4
21,BHIA,81,6
21,T,41,5
21,E,50,6
21,T+E,8,5
22,BHIA,82,6
22,T,43,5
22,E,42,6
22,T+E,62,4
23,BHIA,70,6
23,T,47,5
23,E,43,6
23,T+E,16,5
24,BHIA,84,6
24,T,59,5
24,E,51,6
24,T+E,17,5
,,,
