"Time","Bacteria","data1","data2","data3","Mean","se","se_min","se_max"
22,"Total",9.8e+08,1.24e+09,1.18e+09,1133333333.33333,78598840.8170106,1054734492.51632,1211932174.15034
22,"EryR",3.4e+08,5.8e+08,9e+08,606666666.666667,162207000.807953,444459665.858714,768873667.474619
22,"TetR",3.4e+08,4e+08,6.2e+08,453333333.333333,85114302.2320247,368219031.101309,538447635.565358
22,"DRP",2.2e+08,2.2e+08,1.4e+08,193333333.333333,26666666.6666667,166666666.666667,2.2e+08
23,"Total",9.2e+08,1.12e+09,1.1e+09,1046666666.66667,63595946.7611297,983070719.905537,1110262613.4278
23,"EryR",2.4e+08,4.6e+08,6.8e+08,4.6e+08,127017059.221718,332982940.778282,587017059.221718
23,"TetR",3.8e+08,3e+08,3.6e+08,346666666.666667,24037008.5030933,322629658.163573,370703675.16976
23,"DRP",2.2e+08,2.2e+08,2e+08,213333333.333333,6666666.66666667,206666666.666667,2.2e+08
24,"Total",8.6e+08,8.4e+08,9.4e+08,8.8e+08,30550504.6330389,849449495.366961,910550504.633039
24,"EryR",4.5e+08,3.7e+08,5e+08,4.4e+08,37859388.9720018,402140611.027998,477859388.972002
24,"TetR",4.9e+08,5e+08,5.3e+08,506666666.666667,12018504.2515466,494648162.41512,518685170.918213
24,"DRP",2.1e+08,1.7e+08,2.8e+08,2.2e+08,32145502.5366432,187854497.463357,252145502.536643
