"Time","cfu","Bacteria"
0,21666.6666666667,"Total"
0,12166.6666666667,"EryR"
0,13500,"TetR"
0,0,"DRP"
0,1150,"P"
1,33333.3333333333,"Total"
1,20000,"EryR"
1,33333.3333333333,"TetR"
1,0,"DRP"
1,1250,"P"
2,3e+05,"Total"
2,203333.333333333,"EryR"
2,130000,"TetR"
2,0,"DRP"
2,1400,"P"
3,1766666.66666667,"Total"
3,966666.666666667,"EryR"
3,933333.333333333,"TetR"
3,0,"DRP"
3,950,"P"
4,15333333.3333333,"Total"
4,6666666.66666667,"EryR"
4,4e+06,"TetR"
4,0,"DRP"
4,3500,"P"
5,103333333.333333,"Total"
5,5e+07,"EryR"
5,16666666.6666667,"TetR"
5,0,"DRP"
5,20000,"P"
6,366666666.666667,"Total"
6,166666666.666667,"EryR"
6,133333333.333333,"TetR"
6,0,"DRP"
6,50000,"P"
7,733333333.333333,"Total"
7,333333333.333333,"EryR"
7,466666666.666667,"TetR"
7,0,"DRP"
7,65000,"P"
8,1666666666.66667,"Total"
8,8e+08,"EryR"
8,633333333.333333,"TetR"
8,0,"DRP"
8,75000,"P"
16,1733333333.33333,"Total"
16,1033333331.33333,"EryR"
16,733333331.333333,"TetR"
16,2,"DRP"
16,150000,"P"
17,2333333333.33333,"Total"
17,1233333333.33333,"EryR"
17,1.2e+09,"TetR"
17,0,"DRP"
17,375000,"P"
18,1333333333.33333,"Total"
18,1066666665.66667,"EryR"
18,699999999,"TetR"
18,1,"DRP"
18,1e+05,"P"
19,4e+09,"Total"
19,1299999996,"EryR"
19,1166666662.66667,"TetR"
19,4,"DRP"
19,230000,"P"
20,1766666666.66667,"Total"
20,666666664.666667,"EryR"
20,733333331.333333,"TetR"
20,2,"DRP"
20,115000,"P"
21,1933333333.33333,"Total"
21,999999999,"EryR"
21,866666665.666667,"TetR"
21,1,"DRP"
21,270000,"P"
22,2e+09,"Total"
22,999999986,"EryR"
22,599999986,"TetR"
22,14,"DRP"
22,50000,"P"
23,3666666666.66667,"Total"
23,1299999998,"EryR"
23,533333331.333333,"TetR"
23,2,"DRP"
23,95000,"P"
24,2466666666.66667,"Total"
24,1216666664.16667,"EryR"
24,1066666664.16667,"TetR"
24,2.5,"DRP"
24,87500,"P"
