"Time","cfu","Bacteria"
0,31666.6666666667,"Total"
0,21666.6666666667,"EryR"
0,13166.6666666667,"TetR"
0,0,"DRP"
0,1175,"P"
1,63333.3333333333,"Total"
1,20000,"EryR"
1,20000,"TetR"
1,0,"DRP"
1,1550,"P"
2,3e+05,"Total"
2,180000,"EryR"
2,133333.333333333,"TetR"
2,0,"DRP"
2,1950,"P"
3,2366666.66666667,"Total"
3,9e+05,"EryR"
3,866666.666666667,"TetR"
3,0,"DRP"
3,1300,"P"
4,17666666.6666667,"Total"
4,8e+06,"EryR"
4,5e+06,"TetR"
4,0,"DRP"
4,6000,"P"
5,73333333.3333333,"Total"
5,46666666.6666667,"EryR"
5,26666666.6666667,"TetR"
5,0,"DRP"
5,14500,"P"
6,533333333.333333,"Total"
6,366666666.666667,"EryR"
6,233333333.333333,"TetR"
6,0,"DRP"
6,70000,"P"
7,933333333.333333,"Total"
7,4e+08,"EryR"
7,2e+08,"TetR"
7,0,"DRP"
7,1e+05,"P"
8,2333333333.33333,"Total"
8,1666666665.66667,"EryR"
8,1333333332.33333,"TetR"
8,1,"DRP"
8,1e+05,"P"
16,2.4e+09,"Total"
16,1099999999,"EryR"
16,1033333332.33333,"TetR"
16,1,"DRP"
16,2e+05,"P"
17,2333333333.33333,"Total"
17,1033333322.33333,"EryR"
17,1233333322.33333,"TetR"
17,11,"DRP"
17,165000,"P"
18,1766666666.66667,"Total"
18,1166666663.66667,"EryR"
18,466666663.666667,"TetR"
18,3,"DRP"
18,125000,"P"
19,1433333333.33333,"Total"
19,1033333332.33333,"EryR"
19,666666665.666667,"TetR"
19,1,"DRP"
19,95000,"P"
20,1766666666.66667,"Total"
20,499999998,"EryR"
20,633333331.333333,"TetR"
20,2,"DRP"
20,120000,"P"
21,3666666666.66667,"Total"
21,1399999995,"EryR"
21,766666661.666667,"TetR"
21,5,"DRP"
21,650000,"P"
22,3333333333.33333,"Total"
22,1333333333.33333,"EryR"
22,666666666.666667,"TetR"
22,0,"DRP"
22,115000,"P"
23,2333333333.33333,"Total"
23,899999995,"EryR"
23,899999995,"TetR"
23,5,"DRP"
23,185000,"P"
24,2666666666.66667,"Total"
24,1216666663.16667,"EryR"
24,683333329.833333,"TetR"
24,3.5,"DRP"
24,62500,"P"
