"Time","cfu","Bacteria"
0,3200,"Total"
0,1800,"EryR"
0,8000,"P"
0,2400,"TetR"
0,0,"DRP"
1,3200,"Total"
1,2200,"EryR"
1,17000,"P"
1,1220,"TetR"
1,0,"DRP"
2,30000,"Total"
2,14400,"EryR"
2,12500,"P"
2,6600,"TetR"
2,0,"DRP"
3,160000,"Total"
3,102000,"EryR"
3,15500,"P"
3,56000,"TetR"
3,0,"DRP"
4,1060000,"Total"
4,560000,"EryR"
4,28500,"P"
4,180000,"TetR"
4,0,"DRP"
5,11800000,"Total"
5,4400000,"EryR"
5,54500,"P"
5,2200000,"TetR"
5,0,"DRP"
6,4.4e+07,"Total"
6,1.8e+07,"EryR"
6,7e+05,"P"
6,9400000,"TetR"
6,0,"DRP"
7,1.42e+08,"Total"
7,7.8e+07,"EryR"
7,14500000,"P"
7,5e+07,"TetR"
7,0,"DRP"
8,5e+08,"Total"
8,2e+08,"EryR"
8,2.85e+08,"P"
8,1.6e+08,"TetR"
8,0,"DRP"
