"Time","cfu","Bacteria"
0,44000,"Total"
0,12900,"EryR"
0,21900,"TetR"
0,11100,"DRP"
1,66000,"Total"
1,15600,"EryR"
1,15600,"TetR"
1,16400,"DRP"
2,280000,"Total"
2,151200,"EryR"
2,137200,"TetR"
2,8800,"DRP"
3,1920000,"Total"
3,1084000,"EryR"
3,924000,"TetR"
3,16000,"DRP"
4,2.8e+07,"Total"
4,9800000,"EryR"
4,5600000,"TetR"
4,2e+05,"DRP"
5,9.2e+07,"Total"
5,34800000,"EryR"
5,26800000,"TetR"
5,13200000,"DRP"
6,4.6e+08,"Total"
6,1.54e+08,"EryR"
6,1.5e+08,"TetR"
6,5.8e+07,"DRP"
7,1.28e+09,"Total"
7,7.6e+08,"EryR"
7,3.6e+08,"TetR"
7,2.4e+08,"DRP"
8,1.6e+09,"Total"
8,9.8e+08,"EryR"
8,5.4e+08,"TetR"
8,1.4e+08,"DRP"
16,2e+09,"Total"
16,6.8e+08,"EryR"
16,1.24e+09,"TetR"
16,3.6e+08,"DRP"
17,1.6e+09,"Total"
17,9.6e+08,"EryR"
17,6e+08,"TetR"
17,4.4e+08,"DRP"
18,1.8e+09,"Total"
18,8e+08,"EryR"
18,4e+08,"TetR"
18,4.8e+08,"DRP"
19,1.6e+09,"Total"
19,7.2e+08,"EryR"
19,9.6e+08,"TetR"
19,2.4e+08,"DRP"
20,1.8e+09,"Total"
20,1.08e+09,"EryR"
20,1.28e+09,"TetR"
20,3.2e+08,"DRP"
21,2.4e+09,"Total"
21,8.8e+08,"EryR"
21,8.4e+08,"TetR"
21,3.6e+08,"DRP"
22,2.4e+09,"Total"
22,1.16e+09,"EryR"
22,8e+08,"TetR"
22,4.4e+08,"DRP"
23,2.2e+09,"Total"
23,9.6e+08,"EryR"
23,6e+08,"TetR"
23,4.4e+08,"DRP"
24,1.6e+09,"Total"
24,7.4e+08,"EryR"
24,1.02e+09,"TetR"
24,3.4e+08,"DRP"
