"Time","cfu","Bacteria"
0,6000,"Total"
0,3400,"EryR"
0,13500,"P"
0,1440,"TetR"
0,0,"DRP"
1,5600,"Total"
1,4200,"EryR"
1,12500,"P"
1,800,"TetR"
1,0,"DRP"
2,40000,"Total"
2,40000,"EryR"
2,16500,"P"
2,26000,"TetR"
2,0,"DRP"
3,280000,"Total"
3,280000,"EryR"
3,16500,"P"
3,140000,"TetR"
3,0,"DRP"
4,1420000,"Total"
4,1200000,"EryR"
4,39000,"P"
4,6e+05,"TetR"
4,0,"DRP"
5,12600000,"Total"
5,5800000,"EryR"
5,205000,"P"
5,4800000,"TetR"
5,0,"DRP"
6,8e+07,"Total"
6,5.6e+07,"EryR"
6,7e+06,"P"
6,3.4e+07,"TetR"
6,0,"DRP"
7,3.6e+08,"Total"
7,1.8e+08,"EryR"
7,2.4e+08,"P"
7,2e+08,"TetR"
7,0,"DRP"
8,1.84e+08,"Total"
8,1.22e+08,"EryR"
8,1.4e+09,"P"
8,6e+07,"TetR"
8,0,"DRP"
